time,packet_count
1.405260562896728516e-01,1.000000000000000000e+00
2.133884429931640625e-01,8.000000000000000000e+00
2.866835594177246094e-01,1.600000000000000000e+01
3.598847389221191406e-01,2.300000000000000000e+01
4.353287220001220703e-01,3.100000000000000000e+01
5.105469226837158203e-01,3.900000000000000000e+01
5.127410888671875000e-01,4.000000000000000000e+01
5.859229564666748047e-01,4.700000000000000000e+01
6.611194610595703125e-01,5.500000000000000000e+01
7.364299297332763672e-01,6.300000000000000000e+01
8.096737861633300781e-01,7.100000000000000000e+01
8.828675746917724609e-01,7.900000000000000000e+01
9.599885940551757812e-01,8.600000000000000000e+01
1.037027597427368164e+00,9.500000000000000000e+01
1.110189676284790039e+00,1.020000000000000000e+02
1.185584306716918945e+00,1.100000000000000000e+02
1.258827924728393555e+00,1.180000000000000000e+02
1.332058191299438477e+00,1.250000000000000000e+02
1.405280351638793945e+00,1.330000000000000000e+02
1.478510856628417969e+00,1.400000000000000000e+02
1.551788568496704102e+00,1.480000000000000000e+02
1.624991893768310547e+00,1.550000000000000000e+02
1.698229074478149414e+00,1.630000000000000000e+02
1.771875143051147461e+00,1.700000000000000000e+02
1.845098972320556641e+00,1.780000000000000000e+02
1.918312549591064453e+00,1.850000000000000000e+02
1.991549015045166016e+00,1.930000000000000000e+02
2.064782857894897461e+00,2.000000000000000000e+02
2.138003349304199219e+00,2.080000000000000000e+02
2.211174249649047852e+00,2.150000000000000000e+02
2.286491394042968750e+00,2.230000000000000000e+02
2.359741926193237305e+00,2.300000000000000000e+02
2.435175180435180664e+00,2.380000000000000000e+02
2.508478403091430664e+00,2.460000000000000000e+02
2.581672906875610352e+00,2.530000000000000000e+02
2.654895305633544922e+00,2.610000000000000000e+02
2.728134155273437500e+00,2.680000000000000000e+02
2.801350116729736328e+00,2.760000000000000000e+02
2.876674890518188477e+00,2.830000000000000000e+02
2.952011346817016602e+00,2.910000000000000000e+02
3.025234937667846680e+00,2.990000000000000000e+02
3.100541830062866211e+00,3.060000000000000000e+02
3.175764799118041992e+00,3.140000000000000000e+02
3.250076532363891602e+00,3.220000000000000000e+02
3.323309898376464844e+00,3.290000000000000000e+02
3.396533489227294922e+00,3.370000000000000000e+02
3.469730138778686523e+00,3.440000000000000000e+02
3.542879581451416016e+00,3.520000000000000000e+02
3.618173837661743164e+00,3.590000000000000000e+02
3.693488359451293945e+00,3.670000000000000000e+02
3.766661405563354492e+00,3.750000000000000000e+02
3.839910984039306641e+00,3.820000000000000000e+02
3.913117170333862305e+00,3.900000000000000000e+02
3.986268043518066406e+00,3.970000000000000000e+02
4.059970378875732422e+00,4.050000000000000000e+02
4.135344505310058594e+00,4.120000000000000000e+02
4.210562467575073242e+00,4.200000000000000000e+02
4.284072160720825195e+00,4.280000000000000000e+02
4.359966993331909180e+00,4.350000000000000000e+02
4.435427904129028320e+00,4.430000000000000000e+02
4.508749723434448242e+00,4.510000000000000000e+02
4.581968307495117188e+00,4.580000000000000000e+02
4.655167818069458008e+00,4.660000000000000000e+02
4.728446960449218750e+00,4.730000000000000000e+02
4.801764488220214844e+00,4.810000000000000000e+02
4.877243280410766602e+00,4.880000000000000000e+02
4.952766656875610352e+00,4.960000000000000000e+02
5.025983810424804688e+00,5.040000000000000000e+02
5.099209070205688477e+00,5.110000000000000000e+02
5.172439813613891602e+00,5.190000000000000000e+02
5.245666503906250000e+00,5.260000000000000000e+02
5.318911075592041016e+00,5.340000000000000000e+02
5.394834041595458984e+00,5.410000000000000000e+02
5.470923900604248047e+00,5.490000000000000000e+02
5.544247388839721680e+00,5.570000000000000000e+02
5.617506027221679688e+00,5.640000000000000000e+02
5.692941904067993164e+00,5.720000000000000000e+02
5.766159534454345703e+00,5.790000000000000000e+02
5.768431186676025391e+00,5.800000000000000000e+01
5.841656446456909180e+00,5.870000000000000000e+02
5.914927482604980469e+00,5.950000000000000000e+02
5.988661527633666992e+00,6.020000000000000000e+02
6.061907768249511719e+00,6.100000000000000000e+02
6.135733604431152344e+00,6.170000000000000000e+02
6.216637849807739258e+00,6.260000000000000000e+02
6.289862871170043945e+00,6.330000000000000000e+02
6.363100528717041016e+00,6.410000000000000000e+02
6.438623428344726562e+00,6.480000000000000000e+02
6.514061689376831055e+00,6.560000000000000000e+02
6.587341547012329102e+00,6.640000000000000000e+02
6.662742137908935547e+00,6.710000000000000000e+02
6.738164901733398438e+00,6.790000000000000000e+02
6.811342716217041016e+00,6.870000000000000000e+02
6.884605169296264648e+00,6.940000000000000000e+02
6.957845687866210938e+00,7.020000000000000000e+02
7.033267021179199219e+00,7.090000000000000000e+02
7.108961343765258789e+00,7.170000000000000000e+02
7.182189226150512695e+00,7.250000000000000000e+02
7.255438804626464844e+00,7.320000000000000000e+02
7.328661680221557617e+00,7.400000000000000000e+02
7.404061555862426758e+00,7.470000000000000000e+02
7.479649782180786133e+00,7.550000000000000000e+02
7.552870273590087891e+00,7.620000000000000000e+02
7.628224134445190430e+00,7.700000000000000000e+02
7.703915119171142578e+00,7.780000000000000000e+02
7.777275800704956055e+00,7.850000000000000000e+02
7.852713823318481445e+00,7.930000000000000000e+02
7.928440809249877930e+00,8.010000000000000000e+02
8.001766681671142578e+00,8.080000000000000000e+02
8.077109813690185547e+00,8.160000000000000000e+02
8.152756452560424805e+00,8.240000000000000000e+02
8.225959539413452148e+00,8.310000000000000000e+02
8.301404237747192383e+00,8.390000000000000000e+02
8.374657392501831055e+00,8.470000000000000000e+02
8.447897672653198242e+00,8.540000000000000000e+02
8.521121025085449219e+00,8.620000000000000000e+02
8.594343423843383789e+00,8.690000000000000000e+02
8.669756889343261719e+00,8.770000000000000000e+02
8.742914438247680664e+00,8.840000000000000000e+02
8.818278074264526367e+00,8.920000000000000000e+02
8.891514062881469727e+00,9.000000000000000000e+02
8.964824676513671875e+00,9.070000000000000000e+02
9.038005113601684570e+00,9.150000000000000000e+02
9.111549854278564453e+00,9.220000000000000000e+02
9.184845447540283203e+00,9.300000000000000000e+02
9.258026599884033203e+00,9.370000000000000000e+02
9.333588600158691406e+00,9.450000000000000000e+02
9.406785011291503906e+00,9.520000000000000000e+02
9.408983469009399414e+00,9.570000000000000000e+02
9.482196331024169922e+00,9.600000000000000000e+02
9.555437803268432617e+00,9.680000000000000000e+02
9.628674745559692383e+00,9.750000000000000000e+02
9.701904296875000000e+00,9.830000000000000000e+02
9.775099515914916992e+00,9.900000000000000000e+02
9.848355054855346680e+00,9.980000000000000000e+02
9.921567678451538086e+00,1.005000000000000000e+03
9.994845628738403320e+00,1.012000000000000000e+03
1.007020092010498047e+01,1.020000000000000000e+03
1.014336776733398438e+01,1.027000000000000000e+03
1.021662592887878418e+01,1.035000000000000000e+03
1.029209804534912109e+01,1.042000000000000000e+03
1.036530280113220215e+01,1.049000000000000000e+03
1.044076013565063477e+01,1.057000000000000000e+03
1.051403141021728516e+01,1.064000000000000000e+03
1.058724379539489746e+01,1.072000000000000000e+03
1.066258835792541504e+01,1.079000000000000000e+03
1.073582959175109863e+01,1.086000000000000000e+03
1.081119966506958008e+01,1.094000000000000000e+03
1.088443040847778320e+01,1.101000000000000000e+03
1.095760083198547363e+01,1.109000000000000000e+03
1.103503632545471191e+01,1.116000000000000000e+03
1.110831785202026367e+01,1.124000000000000000e+03
1.118373394012451172e+01,1.131000000000000000e+03
1.125703716278076172e+01,1.138000000000000000e+03
1.133239150047302246e+01,1.146000000000000000e+03
1.140558886528015137e+01,1.153000000000000000e+03
1.147886681556701660e+01,1.161000000000000000e+03
1.155420947074890137e+01,1.168000000000000000e+03
1.162748289108276367e+01,1.175000000000000000e+03
1.170284652709960938e+01,1.183000000000000000e+03
1.177608561515808105e+01,1.190000000000000000e+03
1.184935498237609863e+01,1.198000000000000000e+03
1.192478561401367188e+01,1.205000000000000000e+03
1.199797868728637695e+01,1.212000000000000000e+03
1.207337141036987305e+01,1.220000000000000000e+03
1.214653635025024414e+01,1.227000000000000000e+03
1.221977615356445312e+01,1.235000000000000000e+03
1.229579687118530273e+01,1.242000000000000000e+03
1.236903548240661621e+01,1.249000000000000000e+03
1.244452595710754395e+01,1.257000000000000000e+03
1.251773118972778320e+01,1.264000000000000000e+03
1.259308338165283203e+01,1.272000000000000000e+03
1.266621971130371094e+01,1.279000000000000000e+03
1.273942136764526367e+01,1.286000000000000000e+03
1.281477189064025879e+01,1.294000000000000000e+03
1.288795781135559082e+01,1.301000000000000000e+03
1.296115040779113770e+01,1.309000000000000000e+03
1.303637528419494629e+01,1.316000000000000000e+03
1.310961174964904785e+01,1.323000000000000000e+03
1.318521308898925781e+01,1.331000000000000000e+03
1.325864815711975098e+01,1.338000000000000000e+03
1.333188152313232422e+01,1.346000000000000000e+03
1.340717697143554688e+01,1.353000000000000000e+03
1.348464703559875488e+01,1.360000000000000000e+03
1.356127834320068359e+01,1.368000000000000000e+03
1.363675570487976074e+01,1.376000000000000000e+03
1.370996594429016113e+01,1.383000000000000000e+03
1.378541970252990723e+01,1.391000000000000000e+03
1.385865354537963867e+01,1.398000000000000000e+03
1.393195629119873047e+01,1.405000000000000000e+03
1.400733017921447754e+01,1.413000000000000000e+03
1.408056354522705078e+01,1.420000000000000000e+03
1.415590834617614746e+01,1.428000000000000000e+03
1.422908902168273926e+01,1.435000000000000000e+03
1.430226540565490723e+01,1.442000000000000000e+03
1.437773323059082031e+01,1.450000000000000000e+03
1.445094490051269531e+01,1.457000000000000000e+03
1.452639603614807129e+01,1.465000000000000000e+03
1.459960126876831055e+01,1.472000000000000000e+03
1.467300271987915039e+01,1.479000000000000000e+03
1.474880599975585938e+01,1.487000000000000000e+03
1.482218432426452637e+01,1.494000000000000000e+03
1.489785027503967285e+01,1.502000000000000000e+03
1.497119665145874023e+01,1.509000000000000000e+03
1.504459500312805176e+01,1.517000000000000000e+03
1.512021064758300781e+01,1.524000000000000000e+03
1.519363260269165039e+01,1.531000000000000000e+03
1.526955389976501465e+01,1.539000000000000000e+03
1.534295558929443359e+01,1.546000000000000000e+03
1.541874718666076660e+01,1.554000000000000000e+03
1.549214982986450195e+01,1.561000000000000000e+03
1.556537771224975586e+01,1.569000000000000000e+03
1.564073061943054199e+01,1.576000000000000000e+03
1.571394562721252441e+01,1.583000000000000000e+03
1.578940439224243164e+01,1.591000000000000000e+03
1.586262750625610352e+01,1.598000000000000000e+03
1.593586421012878418e+01,1.606000000000000000e+03
1.601111578941345215e+01,1.613000000000000000e+03
1.608437514305114746e+01,1.620000000000000000e+03
1.615986943244934082e+01,1.628000000000000000e+03
1.623307704925537109e+01,1.635000000000000000e+03
1.630634188652038574e+01,1.643000000000000000e+03
1.638156318664550781e+01,1.650000000000000000e+03
1.645477676391601562e+01,1.657000000000000000e+03
1.653024196624755859e+01,1.665000000000000000e+03
1.660343790054321289e+01,1.672000000000000000e+03
1.667666816711425781e+01,1.679000000000000000e+03
1.675279331207275391e+01,1.687000000000000000e+03
1.682596802711486816e+01,1.694000000000000000e+03
1.690177035331726074e+01,1.702000000000000000e+03
1.697504425048828125e+01,1.709000000000000000e+03
1.705043554306030273e+01,1.717000000000000000e+03
1.712366652488708496e+01,1.724000000000000000e+03
1.719683861732482910e+01,1.731000000000000000e+03
1.727247929573059082e+01,1.739000000000000000e+03
1.734573435783386230e+01,1.746000000000000000e+03
1.742111134529113770e+01,1.754000000000000000e+03
1.749429154396057129e+01,1.761000000000000000e+03
1.756750273704528809e+01,1.768000000000000000e+03
1.764310526847839355e+01,1.776000000000000000e+03
1.771630024909973145e+01,1.783000000000000000e+03
1.779162693023681641e+01,1.791000000000000000e+03
1.786486530303955078e+01,1.798000000000000000e+03
1.793817901611328125e+01,1.805000000000000000e+03
1.801352953910827637e+01,1.813000000000000000e+03
1.808676505088806152e+01,1.820000000000000000e+03
1.816212129592895508e+01,1.828000000000000000e+03
1.823528814315795898e+01,1.835000000000000000e+03
1.830858206748962402e+01,1.842000000000000000e+03
1.838431048393249512e+01,1.850000000000000000e+03
1.845770025253295898e+01,1.857000000000000000e+03
1.853342342376708984e+01,1.865000000000000000e+03
1.860680389404296875e+01,1.872000000000000000e+03
1.868008589744567871e+01,1.880000000000000000e+03
1.875586938858032227e+01,1.887000000000000000e+03
1.882929491996765137e+01,1.894000000000000000e+03
1.890503549575805664e+01,1.902000000000000000e+03
1.897840023040771484e+01,1.909000000000000000e+03
1.905410242080688477e+01,1.917000000000000000e+03
1.912740540504455566e+01,1.924000000000000000e+03
1.920067787170410156e+01,1.931000000000000000e+03
1.927610230445861816e+01,1.939000000000000000e+03
1.934937882423400879e+01,1.946000000000000000e+03
1.942482590675354004e+01,1.954000000000000000e+03
1.949808049201965332e+01,1.961000000000000000e+03
1.957125258445739746e+01,1.968000000000000000e+03
1.964670753479003906e+01,1.976000000000000000e+03
1.971998167037963867e+01,1.983000000000000000e+03
1.979550242424011230e+01,1.991000000000000000e+03
1.986889338493347168e+01,1.998000000000000000e+03
1.994234752655029297e+01,2.006000000000000000e+03
2.001805996894836426e+01,2.013000000000000000e+03
2.009145998954772949e+01,2.020000000000000000e+03
2.016707515716552734e+01,2.028000000000000000e+03
2.024024438858032227e+01,2.035000000000000000e+03
2.031550693511962891e+01,2.043000000000000000e+03
2.038870072364807129e+01,2.050000000000000000e+03
2.046196746826171875e+01,2.057000000000000000e+03
2.053739261627197266e+01,2.065000000000000000e+03
2.061060452461242676e+01,2.072000000000000000e+03
2.068384885787963867e+01,2.080000000000000000e+03
2.075915646553039551e+01,2.087000000000000000e+03
2.083244585990905762e+01,2.094000000000000000e+03
2.090789747238159180e+01,2.102000000000000000e+03
2.098180317878723145e+01,2.109000000000000000e+03
2.105731391906738281e+01,2.117000000000000000e+03
2.113108658790588379e+01,2.124000000000000000e+03
2.120446872711181641e+01,2.132000000000000000e+03
2.127986073493957520e+01,2.139000000000000000e+03
2.135314750671386719e+01,2.146000000000000000e+03
2.142868113517761230e+01,2.154000000000000000e+03
2.150188183784484863e+01,2.161000000000000000e+03
2.157508158683776855e+01,2.169000000000000000e+03
2.165034937858581543e+01,2.176000000000000000e+03
2.172358226776123047e+01,2.183000000000000000e+03
2.179889702796936035e+01,2.191000000000000000e+03
2.187207961082458496e+01,2.198000000000000000e+03
2.194537663459777832e+01,2.206000000000000000e+03
2.202071595191955566e+01,2.213000000000000000e+03
2.209398770332336426e+01,2.220000000000000000e+03
2.216939449310302734e+01,2.228000000000000000e+03
2.224258828163146973e+01,2.235000000000000000e+03
2.231576442718505859e+01,2.242000000000000000e+03
2.239120125770568848e+01,2.250000000000000000e+03
2.246446228027343750e+01,2.257000000000000000e+03
2.253976678848266602e+01,2.265000000000000000e+03
2.261317658424377441e+01,2.272000000000000000e+03
2.268640279769897461e+01,2.279000000000000000e+03
2.276181721687316895e+01,2.287000000000000000e+03
2.283497977256774902e+01,2.294000000000000000e+03
2.291065788269042969e+01,2.302000000000000000e+03
2.298392438888549805e+01,2.309000000000000000e+03
2.305718612670898438e+01,2.317000000000000000e+03
2.313254499435424805e+01,2.324000000000000000e+03
2.320580530166625977e+01,2.331000000000000000e+03
2.328120255470275879e+01,2.339000000000000000e+03
2.335442686080932617e+01,2.346000000000000000e+03
2.342765140533447266e+01,2.354000000000000000e+03
2.350305485725402832e+01,2.361000000000000000e+03
2.357626867294311523e+01,2.368000000000000000e+03
2.365163469314575195e+01,2.376000000000000000e+03
2.372485566139221191e+01,2.383000000000000000e+03
2.379807329177856445e+01,2.390000000000000000e+03
2.387345862388610840e+01,2.398000000000000000e+03
2.394669032096862793e+01,2.405000000000000000e+03
2.402201104164123535e+01,2.413000000000000000e+03
2.409519314765930176e+01,2.420000000000000000e+03
2.416835975646972656e+01,2.427000000000000000e+03
2.424361300468444824e+01,2.435000000000000000e+03
2.431763672828674316e+01,2.442000000000000000e+03
2.439385366439819336e+01,2.450000000000000000e+03
2.446718788146972656e+01,2.457000000000000000e+03
2.454277133941650391e+01,2.465000000000000000e+03
2.461620807647705078e+01,2.472000000000000000e+03
2.468946623802185059e+01,2.479000000000000000e+03
2.476509737968444824e+01,2.487000000000000000e+03
2.483851051330566406e+01,2.494000000000000000e+03
2.491394281387329102e+01,2.502000000000000000e+03
2.498712921142578125e+01,2.509000000000000000e+03
2.506034159660339355e+01,2.517000000000000000e+03
2.513570094108581543e+01,2.524000000000000000e+03
2.520890927314758301e+01,2.531000000000000000e+03
2.528449392318725586e+01,2.539000000000000000e+03
2.535769677162170410e+01,2.546000000000000000e+03
2.543089056015014648e+01,2.554000000000000000e+03
2.550612425804138184e+01,2.561000000000000000e+03
2.557934617996215820e+01,2.568000000000000000e+03
2.565468692779541016e+01,2.576000000000000000e+03
2.572791385650634766e+01,2.583000000000000000e+03
2.580116653442382812e+01,2.590000000000000000e+03
2.587657427787780762e+01,2.598000000000000000e+03
2.594995045661926270e+01,2.605000000000000000e+03
2.602554893493652344e+01,2.613000000000000000e+03
2.609893703460693359e+01,2.620000000000000000e+03
2.617230319976806641e+01,2.628000000000000000e+03
2.624814081192016602e+01,2.635000000000000000e+03
2.632154130935668945e+01,2.642000000000000000e+03
2.639724040031433105e+01,2.650000000000000000e+03
2.647058749198913574e+01,2.657000000000000000e+03
2.654642057418823242e+01,2.665000000000000000e+03
2.661979269981384277e+01,2.672000000000000000e+03
2.669317817687988281e+01,2.680000000000000000e+03
2.676879382133483887e+01,2.687000000000000000e+03
2.684216475486755371e+01,2.694000000000000000e+03
2.691788172721862793e+01,2.702000000000000000e+03
