gain,throughput
4.000000000000000000e+01,1.410579826913289025e+03
4.500000000000000000e+01,2.040744581773800746e+03
5.000000000000000000e+01,2.046170977675085169e+03
5.500000000000000000e+01,2.045259371998432243e+03
6.000000000000000000e+01,2.048311255874604285e+03
6.500000000000000000e+01,2.046431293045798611e+03
7.000000000000000000e+01,2.047449839189200702e+03
7.500000000000000000e+01,2.045447264782175580e+03
8.000000000000000000e+01,2.043690902381762044e+03
8.500000000000000000e+01,2.044752227370280934e+03
