gain,throughput
4.600000000000000000e+01,2.860306007377311744e+03
4.900000000000000000e+01,2.959794719921072101e+03
5.200000000000000000e+01,2.911994169726528526e+03
5.500000000000000000e+01,2.928955926636822824e+03
5.800000000000000000e+01,2.932754310279288802e+03
6.100000000000000000e+01,2.920783582001546165e+03
6.400000000000000000e+01,2.911643842223917090e+03
6.700000000000000000e+01,2.971917629126393422e+03
7.000000000000000000e+01,2.984874164014422149e+03
7.300000000000000000e+01,2.981165391274109879e+03
7.600000000000000000e+01,2.946684581357258594e+03
7.900000000000000000e+01,2.976256100420873281e+03
8.200000000000000000e+01,2.908925599651455741e+03
8.500000000000000000e+01,2.975878078288495544e+03
