gain,throughput
4.600000000000000000e+01,2.037293176221262911e+03
4.900000000000000000e+01,2.038059293255580087e+03
5.200000000000000000e+01,2.046716477139209019e+03
5.500000000000000000e+01,2.044306682250979975e+03
5.800000000000000000e+01,2.043665832647658362e+03
6.100000000000000000e+01,2.047312690128202576e+03
6.400000000000000000e+01,2.044657382845771053e+03
6.700000000000000000e+01,2.042024601623407762e+03
7.000000000000000000e+01,2.046550124998926321e+03
7.300000000000000000e+01,2.041331744133636903e+03
7.600000000000000000e+01,2.045106815719997030e+03
7.900000000000000000e+01,2.047857612239417676e+03
8.200000000000000000e+01,2.046045623328571537e+03
8.500000000000000000e+01,2.014816732058839989e+03
