gain,throughput
4.600000000000000000e+01,1.080543152234443141e+03
4.900000000000000000e+01,1.077305379533257565e+03
5.200000000000000000e+01,1.077137952513470964e+03
5.500000000000000000e+01,1.077669159081427097e+03
5.800000000000000000e+01,1.075845786366797483e+03
6.100000000000000000e+01,1.076480150759419303e+03
6.400000000000000000e+01,1.073732368760719055e+03
6.700000000000000000e+01,1.082080560679331711e+03
7.000000000000000000e+01,1.076281960251266128e+03
7.300000000000000000e+01,1.073813583524517753e+03
7.600000000000000000e+01,1.079747862565948253e+03
7.900000000000000000e+01,1.080086809391582392e+03
8.200000000000000000e+01,1.073965038172698087e+03
8.500000000000000000e+01,1.078500588278677469e+03
