time,packet_count
8.288502693176269531e+00,1.000000000000000000e+00
1.160297584533691406e+01,2.000000000000000000e+00
1.784992814064025879e+01,3.000000000000000000e+00
3.660305118560791016e+01,4.000000000000000000e+00
3.787917685508728027e+01,5.000000000000000000e+00
5.082010316848754883e+01,6.000000000000000000e+00
5.104665637016296387e+01,7.000000000000000000e+00
5.768874621391296387e+01,8.000000000000000000e+00
8.264346122741699219e+00,1.000000000000000000e+00
9.246238470077514648e+00,2.000000000000000000e+00
1.429864978790283203e+01,3.000000000000000000e+00
1.587828111648559570e+01,4.000000000000000000e+00
3.084648370742797852e+01,5.000000000000000000e+00
3.524096393585205078e+01,6.000000000000000000e+00
3.704991006851196289e+01,7.000000000000000000e+00
4.849155306816101074e+01,8.000000000000000000e+00
5.180769181251525879e+01,9.000000000000000000e+00
5.369906854629516602e+01,1.000000000000000000e+01
5.704406642913818359e+01,1.100000000000000000e+01
