gain,throughput
4.600000000000000000e+01,4.842533528275246302e-01
4.900000000000000000e+01,2.958507894556246409e+00
5.100000000000000000e+01,1.329108875462802430e+00
5.300000000000000000e+01,7.255483353254025047e+00
5.400000000000000000e+01,7.261452211547446467e+00
5.500000000000000000e+01,7.286851897702961267e+00
5.600000000000000000e+01,7.280383732966402732e+00
5.700000000000000000e+01,7.284470879185071190e+00
5.800000000000000000e+01,7.286314511307292463e+00
5.900000000000000000e+01,7.289319967990725679e+00
6.000000000000000000e+01,7.271492291590654133e+00
6.100000000000000000e+01,7.293207236750038902e+00
6.200000000000000000e+01,7.288362981056593526e+00
6.300000000000000000e+01,7.291210851177321928e+00
6.400000000000000000e+01,7.286247408602272380e+00
6.500000000000000000e+01,7.279312215454421420e+00
6.600000000000000000e+01,2.195439776406917343e+00
6.800000000000000000e+01,4.664720097201158211e+00
7.000000000000000000e+01,7.293766258470467889e+00
7.100000000000000000e+01,7.243349629818156110e+00
7.200000000000000000e+01,7.276255520686450318e+00
7.300000000000000000e+01,6.082334327810795749e+00
7.400000000000000000e+01,7.479705265253971724e+00
7.500000000000000000e+01,7.563471508888193640e+00
7.600000000000000000e+01,7.658428518504352134e+00
7.700000000000000000e+01,7.610383358112949637e+00
7.800000000000000000e+01,7.631852380914809331e+00
7.900000000000000000e+01,7.893409524669231736e+00
8.000000000000000000e+01,7.816089737327241771e+00
8.100000000000000000e+01,7.593336488339273771e+00
