time,packet_count
5.037423133850097656e+00,1.000000000000000000e+00
1.005099081993103027e+01,2.000000000000000000e+00
1.845978903770446777e+01,3.000000000000000000e+00
2.347333979606628418e+01,4.000000000000000000e+00
2.848692512512207031e+01,5.000000000000000000e+00
3.350054645538330078e+01,6.000000000000000000e+00
3.851410961151123047e+01,7.000000000000000000e+00
4.790084242820739746e+01,8.000000000000000000e+00
5.291456484794616699e+01,9.000000000000000000e+00
5.792814540863037109e+01,1.000000000000000000e+01
6.294267058372497559e+01,1.100000000000000000e+01
